time	latency
0.25	12.0939940559
0.5	12.0939940559
0.75	12.0939940559
1.0	12.0939940559
1.25	12.0939940559
1.5	12.0939940559
1.75	12.0939940559
2.0	12.0939940559
2.25	12.0939940559
2.5	12.0939940559
2.75	12.0939940559
3.0	12.0939940559
3.25	12.0939940559
3.5	12.0939940559
3.75	12.0939940559
4.0	12.0939940559
4.25	12.0939940559
4.5	12.0939940559
4.75	12.0939940559
5.0	12.0939940559
5.25	12.0939940559
5.5	12.0939940559
5.75	12.0939940559
6.0	12.0939940559
6.25	12.0939940559
6.5	12.0939940559
6.75	12.0939940559
7.0	12.0939940559
7.25	12.0939940559
7.5	12.0939940559
7.75	12.0939940559
8.0	12.0939940559
8.25	12.0939940559
8.5	12.0939940559
8.75	12.0939940559
9.0	12.0939940559
9.25	12.0939940559
9.5	12.0939940559
9.75	12.0939940559
