time	latency
0.25	11.1781607499
0.5	11.1781607499
0.75	11.1781607499
1.0	11.1781607499
1.25	11.1781607499
1.5	11.1781607499
1.75	11.1781607499
2.0	11.1781607499
2.25	11.1781607499
2.5	11.1781607499
2.75	11.1781607499
3.0	11.1781607499
3.25	11.1781607499
3.5	11.1781607499
3.75	11.1781607499
4.0	11.1781607499
4.25	11.1781607499
4.5	11.1781607499
4.75	11.1781607499
5.0	11.1781607499
5.25	11.1781607499
5.5	11.1781607499
5.75	11.1781607499
6.0	11.1781607499
6.25	11.1781607499
6.5	11.1781607499
6.75	11.1781607499
7.0	11.1781607499
7.25	11.1781607499
7.5	11.1781607499
7.75	11.1781607499
8.0	11.1781607499
8.25	11.1781607499
8.5	11.1781607499
8.75	11.1781607499
9.0	11.1781607499
9.25	11.1781607499
9.5	11.1781607499
9.75	11.1781607499
