time	latency
0.25	11.1792697133
0.5	11.1792697133
0.75	11.1792697133
1.0	11.1792697133
1.25	11.1792697133
1.5	11.1792697133
1.75	11.1792697133
2.0	11.1792697133
2.25	11.1792697133
2.5	11.1792697133
2.75	11.1792697133
3.0	11.1792697133
3.25	11.1792697133
3.5	11.1792697133
3.75	11.1792697133
4.0	11.1792697133
4.25	11.1792697133
4.5	11.1792697133
4.75	11.1792697133
5.0	11.1792697133
5.25	11.1792697133
5.5	11.1792697133
5.75	11.1792697133
6.0	11.1792697133
6.25	11.1792697133
6.5	11.1792697133
6.75	11.1792697133
7.0	11.1792697133
7.25	11.1792697133
7.5	11.1792697133
7.75	11.1792697133
8.0	11.1792697133
8.25	11.1792697133
8.5	11.1792697133
8.75	11.1792697133
9.0	11.1792697133
9.25	11.1792697133
9.5	11.1792697133
9.75	11.1792697133
