time	latency
0.25	11.7790195972
0.5	11.7790195972
0.75	11.7790195972
1.0	11.7790195972
1.25	11.7790195972
1.5	11.7790195972
1.75	11.7790195972
2.0	11.7790195972
2.25	11.7790195972
2.5	11.7790195972
2.75	11.7790195972
3.0	11.7790195972
3.25	11.7790195972
3.5	11.7790195972
3.75	11.7790195972
4.0	11.7790195972
4.25	11.7790195972
4.5	11.7790195972
4.75	11.7790195972
5.0	11.7790195972
5.25	11.7790195972
5.5	11.7790195972
5.75	11.7790195972
6.0	11.7790195972
6.25	11.7790195972
6.5	11.7790195972
6.75	11.7790195972
7.0	11.7790195972
7.25	11.7790195972
7.5	11.7790195972
7.75	11.7790195972
8.0	11.7790195972
8.25	11.7790195972
8.5	11.7790195972
8.75	11.7790195972
9.0	11.7790195972
9.25	11.7790195972
9.5	11.7790195972
9.75	11.7790195972
